curp_cliente,fecha_de_nacimiento,genero,calle,estado,municipio,codigo_postal,numero,nombre,apellido_paterno,apellido_materno,correo_electronico,contrasena,puntos_acumulados
LFXW921231MTCEFU02,8/12/1985,F,Cordelia,Kolonia Town,Butternut,14201,+691 583 372 9322,Bell,McGragh,Borrows,bborrows1s@google.es,0gQHho4lj,131
OMKU821231MZSPXD99,12/26/1976,M,Delaware,Amboasary,Laurel,48269,+261 503 883 1415,Silvano,Skittle,Goodyear,sgoodyear1t@engadget.com,lPeLko9,522
OJWP421231MZSXRB66,8/28/1945,F,Arizona,Xi’an,Buell,64712,+86 661 795 0990,Malory,Coopper,Denson,mdenson1u@netlog.com,69xZVcCPp,063
HAMJ620030MTCWRO35,7/26/1942,F,Harper,Paris La Défense,Gale,16515,+33 912 173 5687,Adina,Sillars,Clendinning,aclendinning1v@vinaora.com,KT1TwVcj,156
QWSJ020831HTSFGN60,12/19/1910,M,Cordelia,Bojongnangka,Luster,96630,+62 721 793 2966,Benjamin,Tournay,O'Halligan,bohalligan1w@kickstarter.com,cg6lB3o,472
UICW320504MVZSXV86,7/12/1935,M,Hoard,Yangxiang,Main,59760,+86 194 713 8151,Pauly,Sheering,McMurdo,pmcmurdo1x@princeton.edu,jaFhKI9N,723
MXPC921231MZSHRN21,9/9/1916,F,Delaware,Buena Esperanza,Crowley,14663,+54 193 835 6267,Maris,Fullicks,Waudby,mwaudby1y@bizjournals.com,wGHhTED,597
ZUBQ321212MTSPNQ59,8/29/1956,F,Daystar,Château-Richer,Delaware,41156,+1 237 448 2403,Belicia,Macklin,Adshad,badshad1z@cbsnews.com,BPvVCs,276
UQRB921206MZSKAP63,8/4/1983,M,Sachtjen,Morris,Birchwood,75746,+1 936 761 6823,Jerald,Jee,Flann,jflann20@microsoft.com,5TSy4Z5ofob,037
XLKW021131HZSEFB58,7/30/1928,F,Mallory,Dubno,Waxwing,80274,+380 254 273 2533,Reena,Graalman,Tattersdill,rtattersdill21@usgs.gov,f0KaL9Bz,519
KILR221230HZSODB67,4/9/1966,F,Division,Datong,Acker,21158,+86 703 338 0243,Janette,Sjostrom,Monketon,jmonketon22@slashdot.org,SttjVIMOb,057
XWZB421231HYNLAZ87,1/22/1965,M,Rutledge,Yitang,Crest Line,70107,+86 534 671 9777,Thatcher,Yuill,Raden,traden23@woothemes.com,MQXIrYWPf,306
AKQB021131HTSHVN66,12/8/1982,F,Oak,Caraguatatuba,Esch,04618,+55 834 718 6367,Avril,Balint,Drage,adrage24@people.com.cn,qLQP8HC,501
MFOK021100MZSLEK39,12/21/1949,F,Texas,Goúvai,Glacier Hill,61175,+30 355 830 8121,Brita,Dignum,Worcs,bworcs25@feedburner.com,XnkiY6U,770
BIYT021119MZSXFC75,6/24/1972,M,Laurel,Kuantan,Pine View,73683,+60 459 930 4700,Norton,Rosel,Tebbutt,ntebbutt26@un.org,VP44BuKXvt,020
YWLS121231MZSDJU15,2/2/1993,F,Katie,Kerbuyan,Sunnyside,75864,+62 158 249 0158,Jenine,Scholig,Simmon,jsimmon27@bing.com,Y4SzVShSyxsQ,576
QWRY820730MZSLZC24,9/13/1956,F,Warner,Dazuo,Merrick,13559,+86 770 178 5383,Charis,Abbotson,Monard,cmonard28@mapquest.com,Y0wW8TvEI,643
YNEL921231HZSCIR99,7/10/1946,M,Cardinal,Novi Sad,Spenser,97192,+381 857 370 0309,Travis,McVaugh,Curbishley,tcurbishley29@slashdot.org,p6igyNJk10,619
GAVK321131HZSFKI86,5/15/1917,M,Melvin,Złoty Stok,Menomonie,89836,+48 168 782 2853,Teddy,Danbi,Hallock,thallock2a@berkeley.edu,a44m07oFKvB,641
ANFL021231HZSFWH34,12/22/1912,F,Merchant,Tosno,Birchwood,54624,+7 307 162 5139,Ethel,Weiner,Thurlborn,ethurlborn2b@redcross.org,ZeLIuax2,817
AIZY421131HTSJEP90,8/11/2000,F,Anthes,San Jose,Burrows,63726,+52 980 419 6460,Rosalynd,Cathenod,Shier,rshier2c@zdnet.com,KvyR9zRiKq,498
RZCJ821208MZSBKW13,5/27/1955,M,Straubel,El Calvario,Hovde,80202,+52 144 549 2382,Kaleb,Mugleston,Bosma,kbosma2d@cam.ac.uk,0e3fSv,292
PNGV820231HYNFRT85,10/2/1936,M,Sutherland,Guandian,Bowman,65748,+86 488 920 0307,Marchall,Pepperell,Letessier,mletessier2e@sfgate.com,Ls2jKHMO,156
FREQ421216HYNROS36,11/22/1977,M,Green,Necochea,Delaware,42858,+54 186 147 3451,Oates,Meas,Mazillius,omazillius2f@t-online.de,G17VIoh,543
UJMD221219MYNIBN54,10/6/1998,F,Artisan,Bulalacao,Lyons,84323,+63 923 548 1605,Augusta,Butterley,Abelevitz,aabelevitz2g@nsw.gov.au,DvxeG0Jw,408
ACWQ121200HYNSTB38,4/17/1955,M,Rutledge,Masape,Kipling,73930,+62 392 808 4683,Quillan,Wilkennson,Gerrans,qgerrans2h@flickr.com,489a5PvXTktG,509
TEYX821116HZSDHC89,1/7/1928,M,Sundown,Jinchuan,Oak,54028,+86 676 612 1634,Olav,Franceschino,Dinan,odinan2i@kickstarter.com,JA28Si7DPp2H,244
VPHT621114HYNLPC29,10/3/1997,F,Manitowish,Passal,Sutteridge,78425,+351 622 519 7719,Cristen,Christoffe,Vipan,cvipan2j@opera.com,AWw8HAn3Np,865
AIXQ721230MZSZLX30,4/14/1918,F,Reindahl,Kcynia,Ludington,81909,+48 394 847 8845,Marsha,Schoenfisch,Basson,mbasson2k@miitbeian.gov.cn,qX7wuVy,862
QPHB020831MYNJMS28,5/4/1991,F,Scoville,Tubigan,Graedel,18653,+63 191 420 8549,Lilli,Liddon,Touret,ltouret2l@stanford.edu,ai4vHJQ2rco,114
FAYL120930HVZUYL36,1/2/1928,F,Leroy,Bagacay,Northland,85304,+63 835 985 6838,Katherine,Sondland,Phare,kphare2m@barnesandnoble.com,cLOSYo,803
QEMV621231HZSTKI97,1/16/1975,M,Riverside,Feni,Redwing,96685,+880 915 182 1303,Brook,Berzen,Freiberg,bfreiberg2n@angelfire.com,zchOl9zb,539
NMJV521231HVZWFK73,12/28/1999,F,Service,Aubervilliers,Dawn,84537,+33 420 856 1489,Edna,Slidders,Lamyman,elamyman2o@unc.edu,ldR1dQUCh6oH,869
LEZO421130MZSQAO81,4/3/1968,F,Sunfield,Basel,Gerald,88123,+41 416 623 4055,Cathee,Ashard,Reyne,creyne2p@ow.ly,99X8lUjJ,490
HAZK721106HVZPRW98,11/13/1962,F,Russell,Sukamaju,Mayer,08777,+62 787 425 4030,Trixy,Stickford,Trethewey,ttrethewey2q@unc.edu,4oX1uwAj2rc2,950
QJMF521030MTSNGV35,9/10/1966,M,Gateway,‘Amd,Hazelcrest,18354,+967 505 194 4932,Dukie,Polley,Eberts,deberts2r@bigcartel.com,NYokFpFgidn8,560
