id_envio_express,curp_repartidor,precio,estado,tiempo_de_envio,tiempo,costo
60,error: undefined method `id' for nil:NilClass,46679552.27,Drewry,2021/04/20,1,82364.26
61,error: undefined method `id' for nil:NilClass,99943727.43,Manufacturers,2021/12/11,3,33402.25
62,error: undefined method `id' for nil:NilClass,44685568.04,Moland,2021/07/18,3,26961.82
63,error: undefined method `id' for nil:NilClass,60993904.47,Esch,2021/04/12,1,86196.57
64,error: undefined method `id' for nil:NilClass,70142649.55,Almo,2021/08/02,3,86180.55
65,error: undefined method `id' for nil:NilClass,5008349.65,Grasskamp,2021/10/10,2,52900.77
66,error: undefined method `id' for nil:NilClass,79810199.19,Oakridge,2021/09/21,3,59757.35
67,error: undefined method `id' for nil:NilClass,23643516.3,Barnett,2020/12/18,3,13134.86
68,error: undefined method `id' for nil:NilClass,67152594.03,Trailsway,2021/06/09,1,75740.9
69,error: undefined method `id' for nil:NilClass,20419481.46,Meadow Valley,2021/02/21,2,75827.43
70,error: undefined method `id' for nil:NilClass,50368643.11,Gina,2021/02/23,3,64622.36
71,error: undefined method `id' for nil:NilClass,36121956.54,Fisk,2021/05/14,3,5119.47
72,error: undefined method `id' for nil:NilClass,10801161.52,Grayhawk,2021/07/10,3,78872.8
73,error: undefined method `id' for nil:NilClass,97194675.51,Warbler,2021/09/30,2,40548.53
74,error: undefined method `id' for nil:NilClass,87647550.82,Kinsman,2021/08/26,2,67143.32
75,error: undefined method `id' for nil:NilClass,95675406.06,East,2021/05/21,1,76891.88
76,error: undefined method `id' for nil:NilClass,81155491.23,Graedel,2021/10/01,3,68698.6
77,error: undefined method `id' for nil:NilClass,9422022.0,Mosinee,2021/06/20,1,35518.02
78,error: undefined method `id' for nil:NilClass,12181717.38,Bluejay,2021/04/13,3,71473.23
79,error: undefined method `id' for nil:NilClass,58574253.01,Ilene,2021/07/03,3,76929.43
80,error: undefined method `id' for nil:NilClass,26198930.28,Cordelia,2020/12/26,3,39449.61
81,error: undefined method `id' for nil:NilClass,73404734.16,Coleman,2021/09/23,3,85249.16
82,error: undefined method `id' for nil:NilClass,76798790.05,2nd,2021/06/09,1,41458.27
83,error: undefined method `id' for nil:NilClass,86982204.7,Lotheville,2021/08/04,3,29921.14
84,error: undefined method `id' for nil:NilClass,5738544.0,New Castle,2020/12/26,2,95069.06
85,error: undefined method `id' for nil:NilClass,21312962.12,Crowley,2021/08/20,1,33082.1
86,error: undefined method `id' for nil:NilClass,14135785.86,Superior,2021/01/05,3,2946.22
87,error: undefined method `id' for nil:NilClass,20337661.03,Almo,2021/01/27,3,98605.67
88,error: undefined method `id' for nil:NilClass,44226190.39,Granby,2021/06/05,1,11256.61
89,error: undefined method `id' for nil:NilClass,59072763.37,Northwestern,2021/08/15,1,24322.17
90,error: undefined method `id' for nil:NilClass,99695400.99,Mifflin,2020/12/23,2,52407.15
91,error: undefined method `id' for nil:NilClass,68377480.98,Fisk,2021/05/23,1,31112.34
92,error: undefined method `id' for nil:NilClass,88960874.47,Florence,2020/12/27,1,4448.21
93,error: undefined method `id' for nil:NilClass,45125607.62,Declaration,2021/11/06,2,3330.95
94,error: undefined method `id' for nil:NilClass,26384331.33,Stang,2021/03/22,2,63473.29
95,error: undefined method `id' for nil:NilClass,58407278.69,Hovde,2021/11/13,2,95344.94
96,error: undefined method `id' for nil:NilClass,37983528.08,Pennsylvania,2021/12/06,3,97855.57
97,error: undefined method `id' for nil:NilClass,78071073.96,Anthes,2021/12/02,3,91111.65
98,error: undefined method `id' for nil:NilClass,62960940.83,Mcguire,2021/07/15,3,69537.89
99,error: undefined method `id' for nil:NilClass,66302084.69,Spenser,2021/10/31,3,67101.19
100,error: undefined method `id' for nil:NilClass,51913282.25,Mandrake,2021/09/24,3,36763.44
